1088622295	20230310	202303	2023	2023.1918											JUD	JUDGE						JUD			0	010	010	01	1	0.0	3	1	3	-6.47342995169082	0								4	Qaraqosh, NinawáZ, Iraq	IZ	IZ15	36823	36.2709	43.3776	-3109549	4	Qaraqosh, NinawáZ, Iraq	IZ	IZ15	36823	36.2709	43.3776	-3109549	20230310091500	https://www.kob.com/news/business-money/iraqs-crackdown-on-booze-social-media-posts-raises-alarm/
1088622296	20230310	202303	2023	2023.1918											JUD	ATTORNEY						JUD			0	040	040	04	1	1.0	6	1	6	-2.32158211521926	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230310091500	https://tulsaworld.com/news/local/crime-and-courts/tribes-upset-over-ags-intervention-in-some-ottawa-county-cases-as-jurisdictional-questions-persist/article_e921241a-bdff-11ed-b10c-dbe209972fde.html
1088622297	20230310	202303	2023	2023.1918											JUD	APPELLATE COURT						JUD			0	173	173	17	4	-5.0	6	1	6	-2.32158211521926	0								3	Tulsa, Oklahoma, United States	US	USOK	OK143	36.154	-95.9928	1100962	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230310091500	https://tulsaworld.com/news/local/crime-and-courts/tribes-upset-over-ags-intervention-in-some-ottawa-county-cases-as-jurisdictional-questions-persist/article_e921241a-bdff-11ed-b10c-dbe209972fde.html
1088622298	20230310	202303	2023	2023.1918											LAB	EMPLOYEE						LAB			0	042	042	04	1	1.9	1	1	1	2.75330396475771	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20230310091500	https://skift.com/2023/03/10/what-this-ceo-says-about-leading-a-company-thats-worked-remotely-for-15-years/
1088622299	20230310	202303	2023	2023.1918											LAB	EMPLOYEE						LAB			0	042	042	04	1	1.9	4	1	4	2.75330396475771	0								1	Dominican Republic	DR	DR		19	-70.666667	DR	1	Dominican Republic	DR	DR		19	-70.666667	DR	20230310091500	https://skift.com/2023/03/10/what-this-ceo-says-about-leading-a-company-thats-worked-remotely-for-15-years/
1088622300	20230310	202303	2023	2023.1918											LEG	SENATE						LEG			0	020	020	02	1	3.0	9	1	6	0.13458950201885	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20230310091500	https://www.gippslandtimes.com.au/news/2023/03/10/all-for-one-one-for-all/
1088622301	20230310	202303	2023	2023.1918											LEG	CHAMBER						LEG			1	036	036	03	1	4.0	6	1	6	0.22381378692928	0								4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20230310091500	https://www.vanguardngr.com/2023/03/10th-nass-issues-factors-that-will-produce-next-senate-president/
1088622302	20230310	202303	2023	2023.1918											LEG	CHAMBER						LEG			1	036	036	03	1	4.0	1	1	1	0.22381378692928	0								4	Sokoto, Sokoto, Nigeria	NI	NI51	190962	13.0609	5.23902	-2026911	4	Sokoto, Sokoto, Nigeria	NI	NI51	190962	13.0609	5.23902	-2026911	20230310091500	https://www.vanguardngr.com/2023/03/10th-nass-issues-factors-that-will-produce-next-senate-president/
1088622303	20230310	202303	2023	2023.1918											LEG	CHAMBER						LEG			1	036	036	03	1	4.0	1	1	1	0.22381378692928	0								5	Yobe, Yobe, Nigeria	NI	NI44	23119	12	11.5	9153504	5	Yobe, Yobe, Nigeria	NI	NI44	23119	12	11.5	9153504	20230310091500	https://www.vanguardngr.com/2023/03/10th-nass-issues-factors-that-will-produce-next-senate-president/
1088622304	20230310	202303	2023	2023.1918											LKA	SRI LANKA	LKA								1	057	057	05	1	8.0	10	1	10	4.21511627906977	0								1	Sri Lanka	CE	CE		7	81	CE	1	Sri Lanka	CE	CE		7	81	CE	20230310091500	https://www.ft.lk/financial-services/UnionPay-International-announces-partnership-with-LankaPay/42-746151
1088622305	20230310	202303	2023	2023.1918											MED	MEDIA						MED			1	013	013	01	1	0.4	10	1	10	1.4760147601476	0								4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20230310091500	https://glamsham.com/world/technology/centre-relooks-at-safe-harbour-provision-for-internet-intermediaries-in-digital-era
